小区名称,行政区,朝向,房屋配置,面积（㎡）,总价（万）,均价(平),楼层,建筑年份,周边,小区地址
海院小区,浦东区,南北,3室1厅1卫,86.95,485,55780,低层(共6层),1987年建造,源深,浦东大道1460弄1-60号
金燕家苑,浦东区,南北,2室2厅1卫,90.66,675,74455,共5层,2003年建造,金桥,胶东路266弄
泾东小区,浦东区,南北,1室0厅1卫,43.09,220,51056,低层(共6层),1990年建造,洋泾,"崮山路459号,博山路51弄,博山路13弄,泾东一村"
康桥月苑(南区),浦东区,南北,3室2厅1卫,93.53,345,36887,共5层,2009年建造,康桥,康佳路38弄1-79号
瑞和苑,浦东区,南北,3室2厅1卫,95.66,315,32930,中层(共12层),2008年建造,周浦,瑞和路168弄
东方城市花园(二期),浦东区,南,2室2厅1卫,109.41,828,75679,高层(共24层),2005年建造,南码头,东方路1881弄
宜浩佳园,浦东区,南北,2室2厅1卫,88.11,165,18727,共4层,2013年建造,临港新城,"竹柏路100弄,竹柏路366弄,竹柏路111弄,竹柏路333弄"
云台二小区,浦东区,南北,3室1厅1卫,77,410,53247,中层(共6层),1997年建造,世博,"成山路601弄,昌里东路190弄"
蓝高小区,浦东区,南北,2室1厅1卫,58.35,368,63068,低层(共6层),1990年建造,塘桥,"蓝村路60弄,蓝村路30弄"
东明苑,浦东区,南,2室1厅1卫,78.1,435,55698,中层(共24层),2000年建造,世博滨江,东明路383弄(旧:南码头路1186弄130支弄)
梅园三街坊,浦东区,南北,2室1厅1卫,46.85,440,93917,高层(共6层),1985年建造,八佰伴,"商城路1025弄,商城路991弄,乳山路130弄,乳山路138弄,乳山路160弄"
金浜小区,浦东区,南,3室1厅1卫,91.72,628,68470,低层(共6层),1994年建造,金杨新村,栖山路1689弄1-33号
金海华城佳洁景苑,浦东区,南北,1室1厅1卫,57.16,189,33066,中层(共11层),2022年建造,曹路,霞玉路254弄
秀怡苑,浦东区,南北,2室2厅1卫,89.08,360,40414,中层(共18层),2015年建造,康桥,环桥路1137弄
昌七小区,浦东区,南,2室1厅1卫,73.93,350,47343,高层(共6层),1998年建造,世博,"成山路1035弄,成山路963弄,南码头路1675弄,南码头路1621弄"
世茂滨江花园(南区),浦东区,西南,3室2厅2卫,209.3,2300,109891,中层(共62层),2006年建造,陆家嘴,潍坊西路2弄1-18号
云台一小区,浦东区,南,3室1厅1卫,72,370,51389,低层(共6层),1998年建造,世博,"昌里东路80弄,成山路475弄"
绿城上海御园,浦东区,南北,4室2厅2卫,140.77,1498,106415,高层(共11层),2015年建造,金桥,兰谷路2777弄
明丰花园,浦东区,南北,3室2厅2卫,126.46,840,66425,中层(共11层),2003年建造,三林,杨高南路5055弄
罗山六村(100弄),浦东区,南北,2室1厅1卫,50.34,245,48670,高层(共6层),1996年建造,金杨新村,德平路100弄
罗山四村,浦东区,南北,2室1厅1卫,60.37,312,51682,中层(共6层),1992年建造,金杨新村,"万德路67弄,德平路76弄,博山东路81弄,万德路45弄,万德路51弄,德平路80弄"
源竹小区(北区),浦东区,南北,2室1厅1卫,57.86,399,68960,中层(共6层),1990年建造,源深,"源深路600弄1支弄,源深路600弄2支弄,源深路600弄3支弄,潍坊路375弄,潍坊路355弄"
凯旋汇,浦东区,南北,2室2厅2卫,160,350,21875,中层(共25层),2010年建造,东昌路站,张杨路98号
泾西一村,浦东区,南北,3室1厅1卫,71.79,405,56415,中层(共6层),1985年建造,洋泾,泾西一村1-21号
康桥宝邸,浦东区,南北,2室2厅1卫,82.86,320,38620,低层(共14层),2007年建造,康桥,康弘路508弄
凌兆五村(586弄),浦东区,南北,3室2厅1卫,82.86,399,48154,低层(共6层),1996年建造,三林,凌兆路586弄1-70号
崮山小区二街坊,浦东区,南北,1室1厅1卫,45.64,330,72305,高层(共6层),1998年建造,洋泾,灵山路1415弄
海尚乐苑,浦东区,南北,2室2厅1卫,78.85,320,40584,中层(共14层),2009年建造,周浦,周邓公路6600弄1-33号
绿地景汇佳苑,浦东区,南北,3室2厅2卫,118.43,651.5,55012,中层(共20层),2012年建造,周浦,横桥路69弄
大华锦绣华城一街区艾南花苑,浦东区,南北,2室2厅1卫,75,518,69067,中层(共6层),2018年建造,北蔡,"华绣路179弄,华绣路255弄"
上浦路355弄小区,浦东区,南,2室2厅1卫,78.31,398,50824,中层(共6层),1997年建造,三林,上浦路355弄
上钢七村,浦东区,南北,2室2厅1卫,51.42,285,55426,高层(共6层),2002年建造,世博,上钢七村1-92号
东园四村,浦东区,南北,2室1厅1卫,53.14,470,88446,低层(共6层),1990年建造,陆家嘴,东园四村401-431号
金群苑(南区),浦东区,南北,2室1厅1卫,76.4,271.5,35537,低层(共18层),2015年建造,曹路,金钻路398弄1-41号
京浦小区,浦东区,南北,2室1厅1卫,52,350,67308,中层(共6层),1996年建造,御桥,"京浦路82弄(旧:沪南路2441弄82支弄),京浦路160弄(旧:沪南路2441弄160支弄)"
华高二村,浦东区,南,2室1厅1卫,72.95,320,43866,低层(共6层),2001年建造,高行,巨峰路997弄
崮山小区二街坊,浦东区,南北,1室1厅1卫,47.56,340,71489,中层(共6层),1999年建造,洋泾,灵山路1415弄
德州二村,浦东区,南北,1室1厅1卫,38.12,190,49843,高层(共6层),1988年建造,世博滨江,"德州路255弄,德州路255弄40支弄"
南杨小区(长清路),浦东区,南北,2室2厅1卫,68.47,304,44400,中层(共6层),1995年建造,三林,"长清路837弄,长清路693弄,长清路807弄,长清路643弄,长清路773弄"
上南八村(237弄8支弄),浦东区,南,2室1厅1卫,46.25,250,54055,低层(共6层),1999年建造,世博滨江,洪山路237弄8支弄
泾南教师公寓,浦东区,南北,3室2厅1卫,89.06,600,67371,高层(共6层),1999年建造,洋泾,灵山路730弄1-22号
光鸿苑(8弄),浦东区,南北,2室2厅1卫,99,760,76768,高层(共32层),2001年建造,南码头,临沂路8弄
泾东小区,浦东区,西南,2室1厅1卫,86,408,47442,中层(共24层),1990年建造,洋泾,"崮山路459号,博山路51弄,博山路13弄,泾东一村"
玉兰香苑(三期),浦东区,南北,3室2厅1卫,91.01,475,52193,中层(共6层),2007年建造,张江,盛夏路1107弄
